,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,group
ENSG00000146676.5,27062.33,-0.01223336,0.07015966,-0.1743645,0.861579,0.9530463,NA
ENSG00000263505.1,0.1059781,0.3686567,3.28763,0.1121345,0.9107168,NA,NA
ENSG00000172361.5,87.41365,0.01527605,0.1048329,0.1457181,0.884144,0.9612623,NA
ENSG00000227187.1,0.2469556,0.03546838,1.493433,0.02374956,0.9810524,NA,NA
ENSG00000068079.3,2491.677,-0.06437334,0.09230756,-0.6973788,0.4855657,0.767675,NA
ENSG00000263923.1,0.06459762,-0.7650236,3.287633,-0.2326974,0.8159964,NA,NA
ENSG00000257657.2,0.01735213,-0.4530954,3.287633,-0.1378181,0.8903842,NA,NA
ENSG00000228663.1,1536.576,0.3799629,0.1196659,3.175197,0.001497347,0.03163057,NA
ENSG00000149100.8,25988.52,0.1179094,0.07865577,1.499056,0.133859,0.4205505,NA
ENSG00000150045.7,686.2491,-0.1229754,0.4107021,-0.2994273,0.764614,0.9130653,NA
ENSG00000228653.2,135.2478,-0.003550647,0.09824963,-0.03613904,0.9711715,0.9911182,NA
ENSG00000104499.2,0.1508554,-0.6540447,3.141856,-0.2081714,0.8350951,NA,NA
ENSG00000186244.6,0.2340507,-0.03212201,2.417714,-0.0132861,0.9893995,NA,NA
ENSG00000250400.3,0.1075565,0.208129,2.532996,0.08216713,0.9345138,NA,NA
ENSG00000227907.1,0.6141738,0.09888163,0.9579861,0.1032182,0.9177898,NA,NA
ENSG00000235224.1,0.5694109,-0.1362698,1.070632,-0.1272797,0.898719,NA,NA
ENSG00000230228.2,1.187764,-0.2658014,0.7609723,-0.3492919,0.7268702,NA,NA
ENSG00000049192.10,9118.668,-0.1348632,0.1356435,-0.9942477,0.3201023,0.6376301,NA
ENSG00000255071.1,0.08773805,-0.6724215,3.287601,-0.2045326,0.8379373,NA,NA
ENSG00000011566.10,1517.059,-0.1668016,0.1774851,-0.9398064,0.3473169,0.662698,NA
ENSG00000137078.4,5843.281,-0.005496015,0.1145365,-0.04798486,0.9617283,0.987318,NA
ENSG00000186234.7,0.05431643,-0.3399441,3.287633,-0.1034009,0.9176448,NA,NA
ENSG00000233183.2,3.475391,0.3841124,0.3672955,1.045786,0.2956599,0.6143728,NA
ENSG00000084676.11,18235.97,-0.05975094,0.04817635,-1.240255,0.2148812,0.5304634,NA
ENSG00000236700.1,0.129813,-1.126434,3.287382,-0.3426537,0.731859,NA,NA
ENSG00000094755.12,0.2067315,-0.5526533,3.287562,-0.1681043,0.8665012,NA,NA
ENSG00000213754.2,75.58905,0.1026265,0.1221729,0.8400102,0.4009026,0.7051215,NA
ENSG00000074660.11,244.9133,-0.2513272,0.19301,-1.302146,0.1928665,0.5041456,NA
