"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"RPS4XP14",28.962857145216,-0.530033811234722,0.124924306377599,-4.24283973714955,2.20709054573778e-05,0.00604514489820523
"FMN1",473.013677994308,1.55205258532995,0.367123637243704,4.22760189723133,2.36195218726346e-05,0.00639579075798875
"RRP12",5628.46971438763,-0.602628547670136,0.143212206291686,-4.20794123122955,2.57707864056718e-05,0.00689991089057025
"IGKV3.15",333.931537448168,1.79149248476213,0.427623415139136,4.18941625116397,2.79672974135043e-05,0.00740480811184883
"RPS4XP11",468.050187288277,-0.496983525975946,0.118866483324946,-4.18102321255134,2.90200233459265e-05,0.0075991003990119
"ANKRD36BP2",14781.0673774435,-1.98267100470145,0.477621380201349,-4.15113536974753,3.30830008377663e-05,0.00856885681481665
"RASSF6",325.136759902547,-1.91241264990155,0.462532975488858,-4.13465147621161,3.55493715245035e-05,0.00910866638771391
"KCNIP2",826.040171527507,-0.728139412501962,0.177591604135062,-4.1000779065445,4.1301107911584e-05,0.0104698308555865
"SCML1",207.04716681268,1.61947411455832,0.397144423748821,4.07779643302401,4.54645453012889e-05,0.0114039436840465
"MAF",310.496059549571,1.39969037494692,0.345941539438896,4.04603152664801,5.20932203402258e-05,0.0129305140363254
"TUFT1",266.07679268012,-1.22662331118916,0.306152526084949,-4.00657582962032,6.16053530460344e-05,0.0151339583271542
"RBBP7",27375.7067184142,-0.249322862870572,0.0626559060884842,-3.97923960302278,6.91360374797675e-05,0.0168106391541365
"WNK3",70.4641335255368,-1.32913709681191,0.338316163554399,-3.92868340326338,8.5412198005252e-05,0.0205584572350217
"BMP3",63.1944916126073,2.19305775843063,0.563593914354229,3.89120198528661,9.97488511742507e-05,0.0237691537463122
"IGHV3OR16.8",12.9177310224716,2.57603870053136,0.66369653570209,3.8813502285443,0.000103878117550495,0.0245080362684233
"RN7SL15P",52.3175212355696,-0.691081533866917,0.178247208212596,-3.87709597696847,0.000105710665706948,0.0246958769914791
"IGHV3.49",99.5080612114825,1.8106188168592,0.467315247051526,3.87451260852946,0.000106838311974738,0.0247169916120974
"TASL",1563.43197615773,-0.423505455055336,0.110277682574941,-3.84035504887888,0.000122856496420602,0.0281494947423705
"ITGB2",9334.29626971511,0.697801112249621,0.181829241669891,3.83767267487412,0.000124205891704443,0.0281876399373825
"CTAGE9",30.5506628048982,1.0586285331549,0.276744497483313,3.82529207547742,0.00013061713607654,0.0293629786374328
"ABO",13.2080825353763,4.05004234683107,1.0626850713322,3.81114071900331,0.000138326991857776,0.0308055503642893
"RASSF4",1425.43225370467,0.75106375759421,0.198671202067685,3.78043596544169,0.00015655398178416,0.0345418965919885
"KBTBD12",34.5323336421482,-1.22037925301341,0.327074005342566,-3.73120221442003,0.00019056817821206,0.0416610010882127
"IGHV1.18",115.689746287595,1.4543634075933,0.392308668267803,3.7071916203506,0.000209570372201811,0.0453260892079333
"IGKV2D.28",159.818866145225,1.31350422146042,0.354492990134222,3.70530379447865,0.000211137517398154,0.0453260892079333
"ALAS2",115.335591122091,-1.63816577458664,0.443229686115941,-3.69597485435153,0.000219044653571679,0.0466037058032101
"STARD4.AS1",150.75435195703,1.2687959043567,0.344017957772528,3.688167654305,0.000225874808269177,0.0476316000552762
"ARMCX1",73.2880622782467,-0.740005704689601,0.200876912364064,-3.68387633989731,0.000229713714834423,0.0480162114981531
"IGKV1.5",232.642452084902,1.42734801269382,0.388331647569189,3.67559023743877,0.000237300143679279,0.0491706532498568
"ANKRD62",7.24966371349923,6.06476340802585,1.65279302816855,3.66940282580098,0.000243117729132711,0.0499418307543395
"IGLV3.21",202.769587891094,1.37248443476715,0.375246945832665,3.65754991482111,0.000254637682037222,0.0518612079082476
"ODF3L1",5.16844658368848,-2.04577285636424,0.562042217563431,-3.63989179537631,0.000272752633690053,0.055079851764409
"ZRSR2P1",1277.11417363308,-0.37863636677898,0.104517167047216,-3.62271938166797,0.00029152203134082,0.0583754494522722
"ZSWIM4",791.986529737454,-0.372044969214539,0.104262801151055,-3.56833851677861,0.000359252162238309,0.0713384981164722
"ADGRD1",57.8008230126075,1.53093094379547,0.435528886686319,3.51510770145101,0.000439575677985683,0.0865673457084368
"PDE4D",727.191651625664,0.938558849736148,0.268276598410399,3.49847454193667,0.000467927759040763,0.0913954964769044
"RPS4XP2",32.5808791327911,-0.454064563984292,0.130393727386686,-3.48225772116898,0.00049720491683362,0.0963243574246206
"ALG13",18190.159536298,-0.190529933747048,0.0547585929863627,-3.47945269146156,0.000502439070782261,0.0965533920779878
"LGALS3BP",243.113981602976,-0.680605362974858,0.196009568764168,-3.47230682290689,0.000516006226160952,0.0983672989055145
"CD99",7394.89899594891,0.287433260054643,0.0830626540756551,3.46043914985962,0.000539295103575567,0.101990976373827
"FCGR3A",1684.09006184406,1.12070092392027,0.324443820028204,3.45422182436038,0.00055188323411604,0.10354980776182
